Video_ID,Channel_Name,Title,Content_Category,Published_Date,Upload_Hour,Duration_Seconds,Has_Captions,Tags_Count,Views,Likes,Comments,Channel_Subscribers,Age_in_Days,Engagement_Rate_%,Views_Per_Day,Viral_Multiplier,Publish_Month,Publish_Day_OfWeek,Clean_Title,Content_Medium,Performance_Tier,Upload_Time_Bucket,Engagement_Momentum,Viral_Probability_Score,Duration_Minutes,Views_Per_Minute,Tag_Impact_Ratio,Log_Views,Log_Subscribers,Clean_Tier
gAWmvw57hZs,world of knowledge ,FULL FORM OF MATHS😍#maths #MATHSFUN#shorts #viral,General Education,2021-09-27,19,41,False,0,16290909,466056,11274,74500,1794,2.93,9080.77,218.67,September,Monday,FULL FORM OF MATHSmaths MATHSFUNshorts viral,Mixed / General,Mega Viral (Top 5%),Prime Time (5PM - 10PM),6.067690882074168,14.501478517426872,0.6833333333333333,23840354.63414634,16290909.0,16.606117841510304,11.218567827096358,Mega Viral (Top 5%)
p0RmNrWc62Y,VC cinematic,மறக்க முடியாத நாள்!!🥺🥲#mullivaikkal #srilanka #may18 #tamil #shortsfeed #ytshorts #shorts #facts,A/L Content,2025-05-25,9,60,False,6,4100826,0,1602,306000,458,0.04,8953.77,13.4,May,Sunday,  mullivaikkal srilanka may18 tamil shortsfeed ytshorts shorts facts,Tamil Medium,High Performing (Top 25%),Morning (5AM - 12PM),0.19532650251437148,11.695092993235733,1.0,4100826.0,683471.0,15.226699218651424,12.631343648903034,High Performing (Top 25%)
swZmfHgE_UU,Brainblast SAT Prep App,The trickiest question on the SAT… can you solve it? #satprep #digitalsat #satstrategy,General Education,2024-09-30,16,57,False,0,5813111,280853,4581,508000,695,4.91,8364.19,11.44,September,Monday,The trickiest question on the SAT can you solve it satprep digitalsat satstrategy,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),10.05676650592084,11.468841213404406,0.95,6119064.210526316,5813111.0,15.575626613657693,13.138238695062618,Mega Viral (Top 5%)
KeSyKl7zHG0,Gohar Khan,How to Ace Your Next Science Exam,General Education,2022-09-08,0,27,False,0,11785515,614127,1478,7810000,1448,5.22,8139.17,1.51,September,Thursday,How to Ace Your Next Science Exam,Mixed / General,Mega Viral (Top 5%),Night / Late (10PM - 5AM),10.484429403382032,9.416634501706358,0.45,26190033.333333332,11785515.0,16.282381877865642,15.870915649856833,Mega Viral (Top 5%)
3OrL9JX6L_E,Behindwoods TV,Class -ல எப்பவுமே First தான்.. Nandhini வீடு முழுக்க நிரம்பிய Awards,General Education,2023-05-14,17,24,False,0,9725328,393889,2613,20700000,1200,4.08,8104.44,0.47,May,Sunday,Class   First  Nandhini    Awards,Mixed / General,Mega Viral (Top 5%),Prime Time (5PM - 10PM),8.23461172723429,8.245407250013468,0.4,24313320.0,9725328.0,16.09024427723074,16.845644306544774,Mega Viral (Top 5%)
vl84tdx_zy0,Princy Planet,Exam preparations #students  #exam #funny #tamil #trending #seenu #princy #comedy #friends #viral,General Education,2024-03-04,12,59,False,0,7157220,322474,470,1210000,905,4.51,7908.53,5.92,March,Monday,Exam preparations students  exam funny tamil trending seenu princy comedy friends viral,Tamil Medium,Mega Viral (Top 5%),Afternoon (12PM - 5PM),9.043986352242909,10.75405501053026,0.9833333333333333,7278528.813559323,7157220.0,15.78363233510385,14.006131744018864,Mega Viral (Top 5%)
nVyk5UiB9ls,Chitti - Tamil,Can Tape Make Glass Transparent? | Chitti at School | Science of Light and Refraction 🔍✨,O/L Content,2025-01-20,12,56,False,20,4135812,165474,132,569000,583,4.0,7094.02,7.27,January,Monday,Can Tape Make Glass Transparent | Chitti at School | Science of Light and Refraction ,Mixed / General,High Performing (Top 25%),Afternoon (12PM - 5PM),8.0179660003888,10.850783135764296,0.9333333333333333,4431227.142857143,206790.6,15.235194481382317,13.251637470576167,High Performing (Top 25%)
8ba-8Z-jW8E,Tamil editting,Alya Manasa vs Jenni akka🥰,General Education,2021-05-10,16,15,False,0,13393039,309824,3490,85400,1934,2.34,6925.05,156.83,May,Monday,Alya Manasa vs Jenni akka,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),4.756933807181477,13.89806388815517,0.25,53572156.0,13393039.0,16.41024572699961,11.355113089309977,Mega Viral (Top 5%)
KuAL4TTT0PI,MIT GK World,You Can’t Answer This Tamil GK Question! 🤯 | Shocking Quiz #shorts,General Education,2025-07-28,7,5,False,14,2580644,6423,45,24800,394,0.25,6549.86,104.06,July,Monday,You Cant Answer This Tamil GK Question  | Shocking Quiz shorts,Tamil Medium,High Performing (Top 25%),Morning (5AM - 12PM),0.5065014779256651,13.432168077398726,0.08333333333333333,30967728.0,184331.7142857143,14.763549925653008,10.118639253920785,High Performing (Top 25%)
d44V2LvNxMY,Learnworld,12 hours STUDY schedule 📚 💯 % work #study #motivation #tips #viral #shorts,A/L Content,2024-05-11,16,23,False,0,5312721,374269,825,227000,837,7.06,6347.34,23.4,May,Saturday,12 hours STUDY schedule    work study motivation tips viral shorts,Mixed / General,High Performing (Top 25%),Afternoon (12PM - 5PM),14.167184762760929,11.90853386157613,0.38333333333333336,13859272.173913043,5312721.0,15.485614879577,12.33270970174018,High Performing (Top 25%)
Y7cFdRHTJbs,ᴋ.sᴜʀɪʏᴀ 18ʀᴘᴛ26,நான்தான் தமிழ்நாட்டுல முதல் மதிப்பெண் | Dr sanghavi in neeya naana | full episode #shorts,General Education,2023-03-17,3,55,False,18,7905053,246496,744,14600,1258,3.13,6283.83,541.44,March,Friday,    | Dr sanghavi in neeya naana | full episode shorts,Mixed / General,Mega Viral (Top 5%),Night / Late (10PM - 5AM),6.283474633250403,15.039967497072105,0.9166666666666666,8623694.181818182,439169.6111111111,15.883012859721923,9.588845298501564,Mega Viral (Top 5%)
